state,number
Andhra Pradesh,3104
Arunachal Pradesh,139
Assam,1459
Bihar,1608
Chattisgarh,60458
Goa,272
Gujrat,13883
Haryana,1497
Himachal Pradesh,109
Jammu and Kashmir,713
Jharkhand,37133
Karnataka,3499
Kerela,656
Madhya Pradesh,1417
Meghalaya,8866
Maharashtra,16
Manipur,2615
Mizoram,8543
Nagaland,20
Odissa,39556
Punjab,1139
Rajasthan,3421
Sikkim,7
Tamil Nadu,2088
Telangana,1711
Tripura,12437
Uttrakhand,296
Uttar Pradesh,92732
West Bengal,25928
Andaman and Nicobar Islands,202
Chandigarh,22
Dadra and Nagar Haveli or Daman and Diu,81
Delhi,713
Ladakh,0
Lakshwadeep,11
Puduchery,21
